user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0538						19.0	25.0	39.0	13.0			
D0539	51.0	42.0	30.0	28.0	41.0	44.0	45.0	42.0	28.0	24.0	41.0	40.0
D0052	0.0	1.0	1.0	4.0	0.0	0.0	1.0	2.0		1.0	2.0	1.0
D0053	64.0	58.0	122.0	127.0	76.0			70.0	80.0	59.0	50.0	47.0
D0549		1.0	62.0	31.0	43.0	25.0	25.0	2.0	5.0			23.0
D0551	42.0	40.0	37.0	28.0	19.0	21.0	36.0	46.0	69.0	66.0	36.0	41.0
D0552	7.0	1.0	0.0	6.0	3.0	13.0	10.0	3.0	4.0	5.0	1.0	7.0
D0553	9.0	0.0	4.0	25.0	43.0	39.0	35.0	25.0	14.0	69.0	27.0	8.0
D0555	21.0	16.0	17.0	18.0	36.0	18.0	18.0	37.0	20.0	14.0	7.0	12.0
D0556	25.0	34.0	45.0	46.0	80.0	83.0	70.0	56.0	50.0	43.0	28.0	33.0
D0054	17.0	4.0	8.0	22.0	59.0	56.0	32.0	42.0	28.0	19.0	25.0	13.0
D0557	30.0	17.0	20.0	30.0	34.0	22.0	18.0	17.0	8.0	21.0	47.0	23.0
D0055		82.0	193.0	162.0	99.0							
D0056	87.0	53.0	56.0	30.0	44.0	61.0	42.0	57.0	54.0	41.0	48.0	92.0
D0560	7.0	14.0	32.0	27.0	28.0	29.0	17.0	27.0	33.0	22.0	34.0	10.0
D0057			93.0	94.0	104.0							
D0561	44.0	30.0	23.0	33.0	33.0	61.0	55.0	48.0	29.0	24.0	25.0	33.0
D0563	21.0	22.0	26.0	19.0	32.0	15.0	77.0	53.0	79.0	43.0	19.0	22.0
D0565	73.0	78.0	23.0	41.0	41.0	35.0	37.0	12.0	15.0	17.0	19.0	71.0
D0060	41.0	16.0	48.0	40.0	20.0	33.0	8.0	15.0	22.0	44.0	38.0	29.0
D0568			34.0	151.0	113.0	127.0	105.0	118.0	43.0			
D0569	4.0	22.0	34.0	6.0	13.0	9.0	19.0	21.0	10.0			12.0
D0063	70.0	15.0	37.0	0.0	14.0	9.0	22.0	13.0	16.0	48.0	19.0	53.0
D0575	51.0	20.0	65.0	79.0	59.0	73.0	56.0	67.0	55.0	33.0	32.0	33.0
D0064	70.0	39.0	72.0	68.0	35.0			32.0	47.0	30.0	68.0	74.0
D0065	19.0	21.0	6.0	6.0	2.0	1.0	2.0	16.0	11.0	15.0	14.0	11.0
D0583	93.0	43.0	22.0	3.0	3.0		6.0	23.0	16.0	49.0	23.0	41.0
D0586	89.0	42.0	16.0	30.0	73.0	120.0	116.0	115.0	41.0	12.0	35.0	43.0
D0588						54.0	97.0	96.0	36.0			
D0072	79.0	88.0	28.0	51.0	32.0	14.0	31.0	17.0	36.0	44.0	74.0	37.0
D0589	47.0	37.0	26.0	15.0	23.0	26.0	30.0	22.0	17.0		22.0	72.0
D0073	77.0	64.0	84.0	77.0	69.0							16.0
D0590	15.0	15.0	19.0	15.0	31.0	44.0	54.0	61.0	38.0	33.0	25.0	25.0
D0591	43.0	50.0	61.0	44.0	47.0	44.0	80.0	79.0	37.0	30.0	72.0	55.0
D0074	42.0	27.0	43.0	58.0	96.0	69.0	84.0	65.0	51.0	55.0	43.0	52.0
D0592	0.0	105.0	6.0	2.0	1.0	11.0		2.0				0.0
D0076	22.0	22.0	37.0	70.0	51.0	26.0	48.0	34.0	31.0	40.0	25.0	33.0
D0599	60.0	95.0	34.0	25.0	32.0	37.0	72.0	34.0	21.0	40.0	64.0	97.0
D0600	17.0	16.0	21.0	15.0	34.0	39.0	23.0	10.0	7.0			8.0
D0601	41.0	28.0	93.0	62.0	113.0	84.0	54.0	43.0	22.0	4.0	7.0	23.0
D0607	43.0	28.0	17.0	17.0	16.0	42.0	25.0	47.0	31.0	24.0	35.0	13.0
D0611	20.0	8.0	11.0	22.0	6.0	67.0	57.0	75.0	33.0	37.0	8.0	4.0
D0615	25.0	13.0	26.0	26.0	17.0	13.0	15.0	33.0	19.0	31.0	17.0	16.0
D0618	381.0	409.0	16.0									30.0
D0096	38.0	24.0	69.0	38.0	50.0	43.0	37.0	54.0	25.0	35.0	42.0	19.0
D0629	22.0	20.0	26.0	11.0	24.0	26.0	53.0	43.0	18.0	12.0	10.0	14.0
D0633						72.0	104.0	110.0	21.0			
D0635	16.0	16.0	14.0	13.0	15.0	16.0	10.0	15.0	5.0	7.0	7.0	17.0
D0636	24.0	34.0	44.0	41.0	29.0	35.0	38.0	41.0	22.0	17.0	17.0	15.0
D0637	8.0	1.0	7.0	29.0	22.0	22.0	19.0	45.0	28.0	13.0	38.0	32.0
D0638	12.0	7.0	15.0	16.0	9.0	26.0	62.0	85.0	42.0	38.0	27.0	26.0
D0644	34.0	33.0	29.0	25.0	52.0	72.0	47.0	14.0	14.0	15.0	14.0	23.0
D0645	14.0	10.0	20.0	25.0	35.0	24.0	23.0	10.0	25.0	15.0	16.0	7.0
D0647	79.0	52.0	66.0	55.0	47.0	48.0	39.0	33.0	33.0	35.0	38.0	54.0
D0649							91.0	174.0	30.0			
D0651	48.0	67.0	72.0	65.0	81.0	71.0	75.0	95.0	60.0	57.0	28.0	27.0
D0655	4.0	22.0	20.0	18.0	15.0	29.0	12.0	21.0	1.0			
D0105	18.0	23.0	29.0	17.0	22.0	3.0	53.0	78.0	17.0	24.0	35.0	19.0
D0109		0.0	76.0	138.0	62.0	148.0	111.0	118.0	60.0			
D0112	39.0	39.0	65.0	75.0	97.0	25.0	52.0	77.0	47.0	41.0	59.0	60.0
D0113	77.0	71.0	49.0	26.0	26.0	9.0	36.0	77.0	32.0	16.0	53.0	89.0
D0116			4.0	2.0	7.0		1.0	0.0				
D0665	8.0	6.0	18.0	31.0	65.0	85.0	158.0	203.0	64.0	6.0	13.0	26.0
D0117	102.0	141.0	229.0	151.0	179.0	282.0	181.0	238.0	95.0			
D0669	50.0	30.0	45.0	45.0	52.0	55.0	68.0	61.0	25.0		1.0	64.0
D0679	110.0	52.0	38.0	46.0	63.0	58.0	39.0	54.0	71.0	81.0	91.0	133.0
D0680	75.0	48.0	48.0	56.0	63.0	61.0	59.0	74.0	65.0	60.0	78.0	56.0
D0123	44.0	25.0	20.0	47.0	19.0	8.0	15.0	8.0	9.0	9.0	21.0	36.0
D0681	53.0	28.0	28.0	24.0	13.0	21.0	41.0	51.0	9.0	17.0	35.0	32.0
D0126	15.0	44.0	50.0	61.0	26.0						63.0	53.0
D0683					99.0	200.0	202.0	178.0	50.0			
D0688	7.0	59.0	46.0	132.0	205.0	202.0	106.0	61.0	60.0			
D0689	11.0	5.0	4.0	2.0	0.0	1.0	6.0	18.0	4.0	16.0	19.0	28.0
D0692	66.0	13.0	13.0	12.0	26.0	5.0	3.0	2.0	22.0	45.0	270.0	80.0
D0130	12.0	4.0	39.0	28.0	16.0	8.0	19.0	9.0	5.0	5.0	13.0	21.0
D0133	14.0	13.0	13.0	21.0	15.0	10.0	11.0	13.0	21.0	4.0	9.0	19.0
D0698	1.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
D0699	25.0	16.0	5.0	9.0	25.0	28.0	41.0	37.0	23.0	13.0	29.0	9.0
D0707	34.0	42.0	27.0	92.0	112.0	87.0	96.0	105.0	34.0	14.0	48.0	55.0
D0712	18.0	17.0	15.0	18.0	24.0	18.0	16.0	31.0	35.0	23.0	24.0	29.0
D0141	55.0	14.0	15.0	11.0	16.0	16.0	14.0	8.0	2.0	27.0	37.0	17.0
D0718	69.0	48.0	34.0	30.0	45.0	52.0	35.0	52.0	38.0	33.0	41.0	52.0
