user_tag	1	2	3	4	5	6	7	8	9	10	11	12
R1277	159.0	34.0						6.0	71.0	87.0	67.0	106.0
R0807	404.0	28.0										
R1171	61.0	25.0	29.0	30.0	39.0	42.0	38.0	28.0	60.0	36.0	45.0	57.0
R4121	104.0	66.0	48.0	62.0	32.0	36.0	39.0	75.0	112.0	32.0	55.0	94.0
R7319	225.0	11.0								248.0	145.0	130.0
R4765	237.0	23.0								200.0	193.0	265.0
R0325	344.0	424.0										
R1512	143.0	9.0									71.0	124.0
R6688	21.0	7.0										14.0
R1928	11.0		24.0	17.0	5.0	5.0	5.0	1.0	6.0	2.0	3.0	6.0
R0446	98.0	70.0	96.0	54.0	41.0	46.0	44.0	43.0	35.0	59.0	83.0	107.0
R7336	237.0	7.0									100.0	158.0
R1090	1.0	2.0	2.0	3.0	1.0	3.0	2.0	0.0	0.0	1.0	0.0	3.0
R7593	40.0	22.0										
R3945	18.0	28.0										
R6506	1.0									1.0	0.0	0.0
R2629	33.0	31.0	9.0	35.0	24.0	21.0	24.0	27.0	29.0	48.0	45.0	38.0
R4062	47.0	39.0	37.0	30.0	25.0	35.0	43.0	42.0	56.0	65.0	42.0	35.0
R1920	170.0	22.0					14.0	123.0	131.0	145.0	77.0	68.0
R3856	152.0	4.0								46.0	126.0	100.0
R1883	53.0	23.0	9.0	9.0	15.0	17.0	16.0	19.0	54.0	21.0	9.0	20.0
R3200	55.0	62.0	41.0	22.0	23.0	21.0	8.0	21.0	11.0	5.0	47.0	36.0
R8825	77.0	105.0	56.0	12.0	16.0	34.0	23.0	30.0	29.0	58.0	149.0	87.0
R0389	15.0	12.0	4.0	14.0	12.0	16.0	8.0	27.0	16.0	18.0	21.0	23.0
R6855	17.0											
R7686	67.0	24.0	65.0	33.0	23.0	41.0	63.0	28.0	27.0	35.0	30.0	39.0
R0548	48.0	38.0	48.0	39.0	58.0	38.0	34.0	36.0	40.0	60.0	36.0	40.0
R3323	27.0	1.0					10.0	7.0	16.0	19.0	17.0	30.0
R1406	44.0	13.0	16.0	7.0	23.0	14.0	8.0	49.0	89.0	50.0	56.0	60.0
R3231	20.0	4.0	9.0	24.0	18.0	15.0	19.0	8.0	12.0	12.0	19.0	10.0
R4235	38.0	22.0	21.0	51.0	54.0	22.0	31.0	47.0	66.0	54.0	118.0	60.0
R7250	26.0	18.0	40.0	27.0	16.0	13.0	20.0	34.0	18.0	17.0	20.0	17.0
R3666	60.0	0.0							22.0	91.0	68.0	82.0
R0429	20.0	10.0								5.0	27.0	12.0
R0132	52.0	31.0	44.0	33.0	37.0	38.0	26.0	32.0	25.0	18.0	26.0	50.0
R4747	140.0	106.0	39.0	13.0	7.0	17.0	12.0	37.0	13.0	22.0	13.0	17.0
R7009	47.0	55.0	78.0	70.0	52.0	66.0	64.0	66.0	45.0	35.0	40.0	43.0
R4522	14.0	1.0									10.0	20.0
R4521		0.0										
R7367		513.0										
R5640	138.0	26.0							23.0	45.0	27.0	38.0
R4862	22.0	2.0						20.0	87.0	36.0	15.0	24.0
R4872	41.0	40.0	85.0	64.0	50.0	37.0	42.0	36.0	37.0	24.0	12.0	5.0
R7838	4.0	4.0										
R8865	125.0	21.0									145.0	184.0
R7608	124.0	36.0	51.0	55.0	36.0	36.0	53.0	72.0	72.0	57.0	65.0	68.0
R0948	585.0	51.0										
R1614	96.0	123.0	139.0	94.0	40.0	67.0	69.0	29.0	60.0	41.0	55.0	74.0
R2467	97.0	5.0					10.0	31.0	39.0	39.0	48.0	70.0
R1539	2.0	0.0		8.0	15.0	36.0	52.0	43.0	34.0	34.0	0.0	0.0
R7705	45.0	4.0								14.0	82.0	37.0
R3594	182.0	34.0										
R5850	71.0	7.0				0.0	119.0	28.0	55.0	39.0	63.0	85.0
R2685	33.0	28.0	30.0	19.0	20.0	19.0	14.0	13.0	11.0	15.0	9.0	15.0
R8480	9.0	5.0	5.0	8.0	2.0	5.0	2.0	4.0	7.0	5.0	7.0	9.0
R6894	10.0	6.0	12.0	27.0	12.0	8.0	12.0	22.0	20.0	22.0	17.0	13.0
R9007	41.0	5.0	1.0	2.0	1.0	2.0	33.0	25.0	25.0	29.0	19.0	37.0
R3764	1.0	1.0	1.0	0.0	3.0	1.0	3.0	10.0	0.0	1.0	1.0	0.0
R7468	338.0	40.0										15.0
R3924	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0
R2307	37.0	12.0	4.0	0.0	2.0	6.0	9.0	0.0				
R5870	26.0	42.0	41.0	23.0	43.0	32.0	20.0	27.0	29.0	19.0	27.0	20.0
R4408	51.0	4.0						68.0	58.0	85.0	78.0	97.0
R6728	0.0	4.0	13.0	3.0	5.0	2.0	3.0	1.0	4.0	4.0	5.0	2.0
R0626	73.0	10.0								4.0	32.0	122.0
R1944			94.0		1.0	1.0					102.0	1203.0
R6672	21.0	14.0	12.0	10.0	7.0	7.0	4.0	4.0	24.0	37.0	24.0	22.0
R4481	7.0	10.0	11.0	8.0	6.0	8.0	6.0	12.0	2.0	15.0	4.0	3.0
R7471	364.0	17.0										168.0
R4134	39.0	60.0	34.0	26.0	53.0	12.0	29.0	14.0	3.0	7.0	2.0	68.0
R2811	0.0	0.0					0.0	0.0	0.0	5.0	2.0	0.0
R2056	171.0	38.0							30.0	113.0	101.0	128.0
R5416	11.0	4.0						1.0	28.0	26.0	1.0	21.0
R0237	1.0	0.0									6.0	1.0
R2017	3.0	0.0			36.0	35.0	55.0	39.0	21.0	11.0	9.0	4.0
R6223	69.0	5.0							99.0	88.0	78.0	89.0
R2078	245.0	9.0							120.0	133.0	101.0	108.0
R1808	18.0	11.0	20.0	10.0	9.0	12.0	5.0	9.0	11.0	16.0	7.0	6.0
R6103	20.0	42.0	44.0	32.0	38.0	48.0	22.0	12.0	15.0	27.0	14.0	12.0
R6262	0.0									1.0	7.0	4.0
R4772	107.0							44.0	135.0	130.0	69.0	108.0
R0768	27.0	45.0	69.0	77.0	56.0	62.0	41.0	28.0	38.0	48.0	78.0	46.0
R9051	42.0	22.0	15.0	12.0	11.0	12.0	23.0	24.0	18.0	30.0	19.0	33.0
R5868	28.0	12.0	19.0	24.0	25.0	16.0	14.0	9.0	14.0	27.0	23.0	25.0
R1871	234.0	39.0										
R6352	10.0	12.0	21.0	24.0	9.0	7.0	3.0	5.0	68.0	48.0	18.0	8.0
R0387	46.0	1.0		29.0	50.0	56.0	50.0	17.0	15.0	2.0	1.0	16.0
R5213	75.0	1.0										28.0
R0691	53.0	10.0					32.0	74.0	53.0	45.0	83.0	135.0
R0610	46.0	3.0	13.0	6.0	7.0	3.0	3.0	4.0	3.0	4.0	3.0	5.0
R3971	279.0	24.0										174.0
R1008	13.0	11.0	18.0	17.0	12.0	5.0	19.0	15.0	15.0	12.0	10.0	5.0
R3190	244.0	26.0								191.0	156.0	165.0
R2866	34.0	34.0	65.0	13.0	6.0	11.0	18.0	14.0	49.0	28.0	42.0	25.0
R4674	6.0	3.0	3.0	17.0	35.0	21.0	4.0	13.0	5.0	6.0	13.0	9.0
R8258	0.0										0.0	
R0872	15.0	8.0										
R8360	8.0	0.0							7.0	11.0	5.0	7.0
R1982	52.0	27.0	27.0	17.0	12.0	20.0	78.0	30.0	24.0	29.0	28.0	30.0
R9035	30.0	1.0				19.0	62.0	59.0	15.0	6.0	25.0	34.0
R7451	18.0	13.0	20.0	7.0	0.0	1.0	4.0	5.0	1.0	0.0	18.0	13.0
R6966	603.0	53.0										121.0
R7085	23.0	28.0	48.0	27.0	24.0	14.0	8.0	47.0	49.0	32.0	55.0	24.0
R1511	264.0	45.0										
R0433	109.0	132.0	67.0	29.0	35.0	33.0	23.0	23.0	34.0	47.0	69.0	33.0
R8077	32.0	37.0	34.0	30.0	21.0	34.0	40.0	32.0	35.0	47.0	25.0	37.0
R4037	363.0	44.0									23.0	179.0
R8124	13.0	59.0	45.0	43.0	23.0	30.0	32.0	30.0	12.0	16.0	23.0	13.0
R0215	26.0	3.0						17.0	37.0	41.0	37.0	23.0
R4909	35.0	6.0			4.0	31.0	24.0	36.0	36.0	21.0	26.0	42.0
R1711	86.0	35.0	17.0	42.0	15.0	48.0	37.0	30.0	35.0	12.0	77.0	61.0
R2728	36.0	21.0	35.0	36.0	55.0	52.0	76.0	49.0	41.0	37.0	42.0	37.0
R1515	192.0	172.0	146.0	31.0	0.0		4.0	1.0	0.0	2.0	1.0	
R6662	25.0	14.0	29.0	18.0	24.0	22.0	22.0	38.0	24.0	44.0	17.0	30.0
R0241	1.0	0.0	0.0	0.0		1.0	0.0		0.0		0.0	
R8719	60.0	22.0	24.0	25.0	29.0	25.0	37.0	29.0	26.0	38.0	27.0	58.0
R4865	10.0	1.0										1.0
R0568	33.0	5.0						79.0	52.0	37.0	102.0	31.0
R2013	55.0	37.0	28.0	60.0	27.0	32.0	48.0	23.0	47.0	51.0	37.0	42.0
R5131	1.0									0.0	1.0	0.0
R8600	44.0	27.0	17.0	16.0	16.0	21.0	8.0	0.0	13.0	13.0	11.0	36.0
R4118	154.0	11.0		34.0	75.0	72.0	56.0	39.0	75.0	69.0	42.0	58.0
R8954	67.0	11.0	17.0	30.0	23.0	25.0	39.0	72.0	42.0	66.0	76.0	65.0
R8248	16.0	14.0	61.0	68.0	70.0	44.0	40.0	39.0	38.0	27.0	27.0	23.0
R7028	73.0	33.0	45.0	35.0	48.0	45.0	41.0	37.0	25.0	42.0	46.0	56.0
R0887	245.0	53.0										100.0
R5634	118.0	9.0		34.0	164.0	151.0	147.0	116.0	116.0	127.0	126.0	126.0
R3377	20.0	5.0									26.0	99.0
R4604	52.0	2.0							6.0	118.0	82.0	24.0
R7022	15.0	0.0					12.0	57.0	46.0	89.0	15.0	3.0
R5805	117.0	14.0									72.0	72.0
R4407	279.0	49.0									100.0	288.0
R6228	138.0	35.0									97.0	176.0
R1623	12.0	21.0	26.0	12.0	50.0	54.0	78.0	71.0	29.0	54.0	53.0	33.0
R6652	56.0	8.0		6.0	75.0	50.0	47.0	62.0	80.0	85.0	85.0	32.0
R3428	23.0	1.0									87.0	82.0
R2707	65.0	35.0	53.0	59.0	47.0	55.0	61.0	59.0	68.0	67.0	68.0	63.0
R6866	131.0	13.0										
R3326	133.0	17.0								44.0	258.0	116.0
R6997	94.0	72.0	74.0	37.0	33.0	40.0	56.0	78.0	47.0	43.0	94.0	53.0
R2996	87.0	16.0										
R4642	219.0	15.0								127.0	147.0	147.0
