	gender	gender	age	age	age	age	org	org
	male	female	<=18	19-29	30-39	>=40	non-org	is-org
user_id								
D1210	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0689	0.0496	0.9504	0.9814	0.0179	0.0005	0.0002	0.9996	0.0004
D0450	0.0083	0.9917	0.2072	0.6652	0.0948	0.0327	1.0	0.0
D0913	0.9899	0.0101	0.386	0.5051	0.0674	0.0415	0.9708	0.0292
D0835	0.0077	0.9923	0.0061	0.3759	0.6111	0.0069	0.9999	0.0001
D0681	0.0042	0.9958	0.0068	0.0419	0.9194	0.0319	0.8664	0.1336
D0110	0.0735	0.9265	0.0053	0.0781	0.046	0.8706	0.3791	0.6209
D1024	0.4837	0.5163	0.2038	0.77	0.0241	0.0021	1.0	0.0
D0494	0.9984	0.0016	0.019	0.1092	0.8345	0.0372	0.2242	0.7758
D1119	0.3447	0.6553	0.10800000000000001	0.8089	0.0393	0.0439	0.9999	0.0001
D0600	0.0076	0.9924	0.1005	0.8608	0.0162	0.0225	0.9999	0.0001
D0996	0.0002	0.9998	0.1673	0.7171	0.0123	0.1033	1.0	0.0
D0616	0.9971	0.0029	0.0147	0.1557	0.5142	0.3154	1.0	0.0
D0919	0.0205	0.9795	0.0896	0.9036	0.0056	0.0012	1.0	0.0
D0869	0.0016	0.9984	0.0377	0.9495	0.0103	0.0025	1.0	0.0
D0124	0.7179	0.2821	0.7674	0.2158	0.0047	0.0121	0.9944	0.0056
D1128	0.9949	0.0051	0.8854	0.105	0.0081	0.0016	1.0	0.0
D0485	0.0223	0.9777	0.0719	0.8306	0.0544	0.0431	0.9999	0.0001
D0554	0.0004	0.9996	0.0973	0.6383	0.1915	0.0728	1.0	0.0
D1003	0.017	0.983	0.41200000000000003	0.192	0.3831	0.0129	1.0	0.0
D0618	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D1158	0.7194	0.2806	0.5667	0.2988	0.0325	0.102	0.9995	0.0005
D0705	0.0105	0.9895	0.2038	0.539	0.2415	0.0156	1.0	0.0
D0818	0.0547	0.9453	0.0171	0.1495	0.7642	0.0691	1.0	0.0
D0514	0.8903	0.1097	0.5086	0.4336	0.0178	0.04	0.9999	0.0001
D1174	0.0228	0.9772	0.0294	0.9389	0.0296	0.0021	0.9999	0.0001
D0493	0.005	0.995	0.4327	0.5666	0.0004	0.0003	1.0	0.0
D0814	0.0001	0.9999	0.0092	0.129	0.0874	0.7743	0.9997	0.0003
