num_runs	$D$	$R$
749	1527372	6830562
750	1505589	6712618
751	1452364	6769119
752	1520534	6901396
753	1464111	6777583
754	1479483	6776720
755	1538523	6711446
756	1497597	6868927
757	1451683	6825984
758	1544294	6791694
759	1450474	6679484
760	1469464	6860700
761	1509710	6881457
762	1519848	6664503
763	1525279	6909078
764	1583430	6715376
765	1514080	6766068
766	1473545	6752108
767	1533542	6872386
768	1495459	6853461
769	1516361	6786730
770	1513776	6722173
771	1504717	6907440
772	1532203	6879089
773	1557332	6722290
774	1498849	6778789
775	1509774	6758068
776	1475592	6706766
777	1546828	6767575
778	1474602	6819550
779	1524618	6891981
780	1502833	6699225
781	1517354	6682492
782	1511356	6818632
783	1549433	6834446
784	1509972	6843495
785	1505421	6869315
786	1549610	6832897
787	1485517	6748537
788	1519065	6827463
789	1502796	6824954
790	1494565	7006542
791	1499751	6818314
792	1543410	6718826
793	1506423	6820216
794	1541161	6896361
795	1475167	6927924
796	1485936	6678382
797	1562608	6625231
798	1518057	6764383
799	1490546	6744716
800	1546163	6788286
801	1496261	6780643
802	1510503	6931899
803	1485050	6938387
804	1475935	6696437
805	1476617	6747556
806	1555369	6746573
807	1515040	6953278
808	1500378	6730306
809	1507655	6759116
810	1497861	6809142
811	1520187	6699412
812	1491133	6777558
813	1534716	6698317
814	1518705	6953296
815	1523171	6852651
816	1495688	6769143
817	1514126	6840469
818	1481989	6769788
819	1551590	6665892
820	1512710	6917869
821	1452020	6803506
822	1554222	6874685
823	1530001	6718845
824	1510055	6684604
825	1487513	6666560
826	1488742	6839767
827	1514695	6777339
828	1497581	6831083
829	1548849	6662249
830	1512974	6816700
831	1555545	6672737
832	1511022	6732788
833	1546430	6833248
834	1501385	6755330
835	1487024	6811307
836	1469915	6734294
837	1535939	6715257
838	1521013	6658959
839	1479602	6787056
840	1504327	6873460
841	1470756	6871406
842	1540875	6716788
843	1525505	6882625
844	1481397	6698684
845	1534747	6781957
846	1471894	6934431
847	1515676	6723717
848	1465832	6860485
849	1484793	6716181
850	1534178	6826288
851	1475385	6734991
852	1459154	6886230
853	1501852	6881820
854	1513499	6868841
855	1489118	6767827
856	1544415	6872963
857	1506549	6723709
858	1494969	6838298
859	1510587	6736850
860	1478614	6727353
861	1520488	6753405
862	1532021	6742849
863	1541581	7034018
864	1548295	6904178
865	1557636	6802272
866	1523487	6780794
867	1495512	6782084
868	1520017	6750575
869	1507392	6735235
870	1520575	6799799
871	1527582	6749225
872	1560858	6617457
873	1514965	6637208
874	1554353	6720207
875	1541843	6745047
876	1511473	6716087
877	1443155	6822208
878	1528281	6634715
879	1556225	6830030
880	1563648	6949024
881	1517509	6767712
882	1503174	6775935
883	1490354	6829797
884	1506467	6745854
885	1509535	6736949
886	1477668	6739213
887	1521908	6846851
888	1508707	6874518
889	1569852	6783409
890	1548423	6837071
891	1510761	6787843
892	1516020	6746769
893	1511048	6671157
894	1497965	6865869
895	1483876	6732364
896	1479664	6690591
897	1502056	6726780
898	1536056	6998867
899	1525182	6774562
900	1542223	6736975
901	1512097	6670091
902	1474353	6717794
903	1480229	6783761
904	1520457	6801408
905	1515364	6778860
906	1491018	6712802
907	1478664	6903881
908	1569153	6875346
909	1541305	6803246
910	1545844	6914842
911	1505645	6698433
912	1520707	6760375
913	1478214	6872004
914	1499351	6830553
915	1546709	6812899
916	1461415	6928974
917	1549005	6822182
918	1510126	6666495
919	1485635	6824805
920	1503657	6806148
921	1516379	6918955
922	1505177	6824290
923	1511992	6649205
924	1503636	6934717
925	1534252	6744989
926	1510889	6801105
927	1496397	6855815
928	1454406	6716961
929	1545230	6790194
930	1492329	6824890
931	1538773	6809907
932	1499637	6837775
933	1516117	6746179
934	1527930	6773313
935	1459771	6941107
936	1478945	6741832
937	1479899	6805069
938	1529101	6831771
939	1484539	6827642
940	1532619	6955837
941	1510119	6763683
942	1502440	6802744
943	1478276	6909011
944	1558857	6794980
945	1529916	6912748
946	1540589	6721278
947	1507443	6838241
948	1484368	6774693
949	1502176	6682187
950	1521665	6612740
951	1509150	6666829
952	1521076	6804409
953	1464561	6706558
954	1478893	6866054
955	1512170	6957265
956	1477078	6831722
957	1580465	6690772
958	1523893	6626834
959	1490937	6755571
960	1496698	6687630
961	1518758	6808979
962	1512066	6838369
963	1456772	6683253
964	1528933	6802698
965	1469858	6603143
966	1506075	6742673
967	1528130	6770505
968	1459211	6717429
969	1549171	6909934
970	1483417	6826174
971	1534437	6809373
972	1457277	6780151
973	1482405	6711207
974	1560765	6849489
975	1522835	6734577
976	1540032	6915822
977	1501543	6695232
978	1541435	6714658
979	1521062	6790293
980	1532567	6743681
981	1492320	6743230
982	1505478	6783020
983	1535246	6667193
984	1517530	6663884
985	1518986	6756394
986	1525084	6704323
987	1513908	6805526
988	1469380	6718780
989	1558021	6658960
990	1567423	6759627
991	1494995	6527469
992	1573076	6746677
993	1459498	7007201
994	1524061	6728525
995	1510881	6823047
996	1494354	6811386
997	1506414	6717150
998	1585996	6656478
999	1547163	6601594
1000	1558365	6703133
1001	1530129	6778484
1002	1528438	6864595
1003	1493914	6739964
1004	1496259	6805971
1005	1498342	6898225
1006	1509759	6834189
1007	1495096	6875636
1008	1477091	6710903
1009	1512038	6740443
1010	1587289	6709949
1011	1508823	6827012
1012	1553123	6729405
1013	1492221	6762994
1014	1547320	6865309
1015	1585852	6741384
1016	1517445	6782848
1017	1557579	6915375
1018	1536557	6867341
1019	1504420	6828032
1020	1528079	6814005
1021	1555918	6799358
1022	1509602	6734075
1023	1494936	6757461
1024	1474848	6724505
1025	1504221	6664295
1026	1495570	6793345
1027	1538525	6786750
1028	1465209	6879297
1029	1495505	6633769
1030	1557799	6795791
1031	1518681	6778668
1032	1488013	6804608
1033	1503690	6876600
1034	1500033	6657661
1035	1463339	6750830
1036	1489973	6641311
1037	1525216	6688736
1038	1503543	6837101
1039	1523222	6835013
1040	1537563	6801087
1041	1490149	6963249
1042	1513282	6630061
1043	1476176	6712555
1044	1496218	6876557
1045	1491668	6723309
1046	1501710	6782852
1047	1480132	6739985
1048	1495297	6654716
1049	1502952	6867243
1050	1465309	6659486
1051	1497192	6889339
1052	1507235	6799499
1053	1517501	6734075
1054	1490421	6948382
1055	1528926	6826047
1056	1481702	6849010
1057	1532021	6819966
1058	1498102	6614691
1059	1516709	6630827
1060	1487466	6841771
1061	1508113	6841979
1062	1491031	6859082
1063	1508042	6793585
1064	1528593	6879420
1065	1511327	6770137
1066	1539720	6866013
1067	1584590	6775966
1068	1481821	6688757
1069	1519033	6703717
1070	1481198	6741724
1071	1510285	6827694
1072	1521275	6733333
1073	1471299	6758260
1074	1481514	6618398
1075	1480427	6716442
1076	1540219	6663296
1077	1503217	6701949
1078	1510352	6944729
1079	1509939	6794623
1080	1480145	6612506
1081	1533632	6650773
1082	1506627	6792907
1083	1527235	6884511
1084	1492846	6758698
1085	1470933	6859794
1086	1502967	6763258
1087	1486595	6732639
1088	1510251	6692427
1089	1537504	6789150
1090	1484057	6845930
1091	1499793	6703076
1092	1497955	6853376
1093	1592561	6672371
1094	1492693	6733234
1095	1515394	6821942
1096	1554677	6744062
1097	1478517	6838750
1098	1453847	6789396
1099	1583530	6711741
1100	1539128	6894567
1101	1525436	6764062
1102	1482817	6762484
1103	1512030	6862584
1104	1481445	6840555
1105	1548939	6920198
1106	1505702	6854884
1107	1550460	6864517
1108	1529586	6756907
1109	1496921	6717171
1110	1478634	6871615
1111	1485198	6813882
1112	1493036	6692814
1113	1511731	6717766
1114	1543241	6796364
1115	1524989	6918304
1116	1521755	6831083
1117	1497529	6809469
1118	1482273	6756434
1119	1552312	6890022
1120	1521825	6702872
1121	1542531	6741791
1122	1497464	6817111
1123	1494636	6809515
1124	1500806	6690267
1125	1490869	6805482
1126	1494296	6838517
1127	1526841	6838944
1128	1489667	6819060
1129	1502821	6959175
1130	1545842	6788658
1131	1492298	6780242
1132	1525948	6824323
1133	1515280	6763225
1134	1470579	6568802
1135	1533143	6708478
1136	1538638	6718428
1137	1511891	6849305
1138	1529148	6848942
1139	1525643	6657442
1140	1488339	6699346
1141	1505249	6682418
1142	1540798	6762047
1143	1462060	6890883
1144	1509325	6893414
1145	1522119	6870257
1146	1509790	6802395
1147	1521318	6859215
1148	1503437	6964402
1149	1537134	6730726
1150	1478660	6774788
1151	1516685	6675008
1152	1525767	6859092
1153	1521361	6756555
1154	1497067	6892153
1155	1524325	6767103
1156	1493143	6698253
1157	1545230	6770587
1158	1544066	6931913
1159	1508711	6752633
1160	1532029	6850237
1161	1476456	6896873
1162	1503438	6814361
1163	1548945	6910811
1164	1580313	6697774
1165	1499500	6783896
1166	1482852	6671147
1167	1483425	6849827
1168	1465466	6681509
1169	1505274	6732877
1170	1509141	6761264
1171	1503338	6709110
1172	1466063	6855649
1173	1520328	6686935
1174	1456991	6671468
1175	1497970	6894693
1176	1485124	6879618
1177	1517749	6921919
1178	1471008	6673273
1179	1496450	6696596
1180	1516864	6832581
1181	1482154	6603352
1182	1502969	6830384
1183	1501673	6789102
1184	1529415	6713229
1185	1496537	6897103
1186	1505152	6856997
1187	1530107	6848131
1188	1489301	6693105
1189	1500957	6916536
1190	1534479	6719010
1191	1472018	6867867
1192	1437993	6672195
1193	1548868	6662511
1194	1524507	6843634
1195	1512405	6689318
1196	1530635	6755547
1197	1511807	6875000
1198	1498708	6683957
1199	1523297	6831771
1200	1483656	6666422
1201	1483438	6708355
1202	1549912	6811310
1203	1453827	6839752
1204	1520989	6801442
1205	1548829	6826658
1206	1513810	6722881
1207	1553983	6813015
1208	1511509	6972741
1209	1505963	6745681
1210	1488947	6845771
1211	1550725	6919612
1212	1501388	6825874
1213	1495883	6746338
1214	1526661	6881926
1215	1467133	6867577
1216	1498499	6853284
1217	1548531	6759176
1218	1460465	6764305
1219	1529276	6762432
1220	1481916	6703086
1221	1508692	6760088
1222	1492681	6731471
1223	1547382	6753066
1224	1512493	6660133
1225	1501678	6693514
1226	1482608	6818775
1227	1563169	6831046
1228	1505413	6662843
1229	1516305	6723098
1230	1508914	6734170
1231	1513182	6697092
1232	1508079	6802473
1233	1536289	6838621
1234	1535934	6815150
1235	1486586	6669179
1236	1528211	6725749
1237	1569351	6824133
1238	1520995	6761007
1239	1552338	6714993
1240	1447073	6802991
1241	1514545	6689433
1242	1461744	6781456
1243	1476057	6746483
1244	1518032	6886269
1245	1488323	6844378
1246	1549585	6740913
1247	1535343	6651596
1248	1525562	6782151
1249	1548377	6737734
1250	1481402	6697663
1251	1486293	6826367
1252	1509182	6797793
1253	1514486	6743126
1254	1521273	6681593
1255	1504522	6948925
1256	1535293	6617918
1257	1519149	6746061
1258	1486797	6806909
1259	1477096	6769449
1260	1490502	6686617
1261	1512406	6617715
1262	1501053	6687929
1263	1501861	6748650
1264	1522771	6720006
1265	1552420	6815117
1266	1525427	6869959
1267	1479744	6737800
1268	1526503	6775441
1269	1541023	6804212
1270	1545865	6787922
1271	1569531	6522799
1272	1500498	6822959
1273	1539478	6716723
1274	1526188	6716634
1275	1491234	6932849
1276	1488121	6725171
1277	1523670	6877462
1278	1492257	6813212
1279	1544938	6792025
1280	1474247	6909851
1281	1543972	6777596
1282	1498741	6843851
1283	1484322	6876753
1284	1505574	6932395
1285	1527674	6789974
1286	1477715	6785903
1287	1494860	6752783
1288	1514854	6820847
1289	1482840	6783419
1290	1507149	6695292
1291	1517778	6652763
1292	1498525	6764474
1293	1503684	6860973
1294	1501740	6781717
1295	1552327	6898270
1296	1538567	6723477
1297	1517631	6658917
1298	1494651	6858713
1299	1506850	6819836
1300	1490953	6716960
1301	1483451	6769148
1302	1533724	6775390
1303	1531729	6817710
1304	1532495	6900443
1305	1504999	6878619
1306	1531185	6777933
1307	1511137	6909214
1308	1511846	6640794
1309	1511880	6933433
1310	1528712	6682909
1311	1513583	6914634
1312	1521074	6785499
1313	1591445	6688089
1314	1523408	6872153
1315	1512180	6853709
1316	1490279	6799012
1317	1450717	6769679
1318	1526905	6757939
1319	1529087	6710322
1320	1502668	6797217
1321	1548539	6742255
1322	1530108	6812849
1323	1505489	6921385
1324	1528910	6753774
1325	1443407	6823527
1326	1494432	6849282
1327	1573492	6765733
1328	1460549	6719808
1329	1490775	6916557
1330	1513440	6869890
1331	1525244	6824879
1332	1528073	6739478
1333	1471339	6794234
1334	1494673	6610516
1335	1550834	6831313
1336	1508891	6841848
1337	1443294	6779240
1338	1463330	6755558
